FinnishName;ScientificName;type_of_occurrence;status;authority_status;synonyms
ojatädyke;Veronica beccabunga;alkuperainen  vanhaa perua  vakiintunut;NT (2019);Putkilokasvien toiminnallinen monimuotoisuus ? SUMI-hankkeessa 2022 laadittu luettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Alueellisesti uhanalainen 2020 - 1b Hemiboreaalinen  Lounainen rannikkomaa  Alueellisesti uhanalainen 2020 - 2a Etelaboreaalinen  Lounaismaa ja Pohjanmaan rannikko  Alueellisesti uhanalainen 2020 - 2b Etelaboreaalinen  Jarvi-Suomi;
ojakaali;Lythrum portula;alkuperainen  vanhaa perua  vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Kiireellisesti suojeltavat lajit (SYKE 2020)  VANHA Kiireellisesti suojeltavat lajit (SYKE 2010?2011)  Putkilokasvien toiminnallinen monimuotoisuus ? SUMI-hankkeessa 2022 laadittu luettelo  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);Peplis portula L.
turjanhorsma;Epilobium laestadii;alkuperainen  vanhaa perua  vakiintunut;EN (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Erityisesti suojeltavat lajit (LSA 2023/1066  liite 6)  VANHA Uhanalaisten lajien turvaaminen metsataloudessa -hankkeessa 2007?2010 laadittu metsalajiluettelo  Aapasuolajit ? SUMI-hankkeessa 2020 laadittu uhanalaisten tai silmallapidettavien aapasuolajien luettelo  Putkilokasvien toiminnallinen monimuotoisuus ? SUMI-hankkeessa 2022 laadittu luettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471)  VANHA Erityisesti suojeltavat lajit (LSA 1997/160  liite 4 2013/471);
tummahorsma;Epilobium obscurum;alkuperainen  vanhaa perua  vakiintunut;EN (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Koko maassa rauhoitetut kasvilajit (LSA 2023/1066  liite 3)  Kiireellisesti suojeltavat lajit (SYKE 2020)  VANHA Kiireellisesti suojeltavat lajit (SYKE 2010?2011)  Putkilokasvien toiminnallinen monimuotoisuus ? SUMI-hankkeessa 2022 laadittu luettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);
hetesara;Carex acutiformis;alkuperainen  vanhaa perua  vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Putkilokasvien toiminnallinen monimuotoisuus ? SUMI-hankkeessa 2022 laadittu luettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023);
röyhysara;Carex appropinquata;alkuperainen  vanhaa perua  vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  VANHA Uhanalaisten lajien turvaaminen metsataloudessa -hankkeessa 2007?2010 laadittu metsalajiluettelo  Aapasuolajit ? SUMI-hankkeessa 2020 laadittu uhanalaisten tai silmallapidettavien aapasuolajien luettelo  Putkilokasvien toiminnallinen monimuotoisuus ? SUMI-hankkeessa 2022 laadittu luettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);
vienansara;Carex atherodes;alkuperainen  vanhaa perua  vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  VANHA Uhanalaisten lajien turvaaminen metsataloudessa -hankkeessa 2007?2010 laadittu metsalajiluettelo  Metsaisten suojelualueiden konnektiviteetti ? SUMI-hankkeessa 2020 laadittu metsalajiluettelo  Aapasuolajit ? SUMI-hankkeessa 2020 laadittu uhanalaisten tai silmallapidettavien aapasuolajien luettelo  Putkilokasvien toiminnallinen monimuotoisuus ? SUMI-hankkeessa 2022 laadittu luettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023);
hentosara;Carex disperma;alkuperainen  vanhaa perua  vakiintunut;NT (2019);Metsaisten suojelualueiden konnektiviteetti ? SUMI-hankkeessa 2020 laadittu metsalajiluettelo  Putkilokasvien toiminnallinen monimuotoisuus ? SUMI-hankkeessa 2022 laadittu luettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Alueellisesti uhanalainen 2020 - 1b Hemiboreaalinen  Lounainen rannikkomaa  Alueellisesti uhanalainen 2020 - 2a Etelaboreaalinen  Lounaismaa ja Pohjanmaan rannikko  Alueellisesti uhanalainen 2020 - 3a Keskiboreaalinen  Pohjanmaa  Alueellisesti uhanalainen 2020 - 4c Pohjoisboreaalinen  Metsa-Lappi  Alueellisesti uhanalainen 2020 - 4d Pohjoisboreaalinen  Tunturi-Lappi;
lettosara;Carex heleonastes;alkuperainen  vanhaa perua  vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  VANHA Uhanalaisten lajien turvaaminen metsataloudessa -hankkeessa 2007?2010 laadittu metsalajiluettelo  Aapasuolajit ? SUMI-hankkeessa 2020 laadittu uhanalaisten tai silmallapidettavien aapasuolajien luettelo  Putkilokasvien toiminnallinen monimuotoisuus ? SUMI-hankkeessa 2022 laadittu luettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);
lähdesara;Carex paniculata;alkuperainen  vanhaa perua  vakiintunut;EN (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Erityisesti suojeltavat lajit (LSA 2023/1066  liite 6)  Koko maassa rauhoitetut kasvilajit (LSA 2023/1066  liite 3)  Kiireellisesti suojeltavat lajit (SYKE 2020)  VANHA Kiireellisesti suojeltavat lajit (SYKE 2010?2011)  VANHA Uhanalaisten lajien turvaaminen metsataloudessa -hankkeessa 2007?2010 laadittu metsalajiluettelo  Putkilokasvien toiminnallinen monimuotoisuus ? SUMI-hankkeessa 2022 laadittu luettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471)  VANHA Erityisesti suojeltavat lajit (LSA 1997/160  liite 4 2013/471);
kaislasara;Carex rhynchophysa;alkuperainen  vanhaa perua  vakiintunut;NT (2019);Metsaisten suojelualueiden konnektiviteetti ? SUMI-hankkeessa 2020 laadittu metsalajiluettelo  Putkilokasvien toiminnallinen monimuotoisuus ? SUMI-hankkeessa 2022 laadittu luettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Alueellisesti uhanalainen 2020 - 1b Hemiboreaalinen  Lounainen rannikkomaa  Alueellisesti uhanalainen 2020 - 3a Keskiboreaalinen  Pohjanmaa;
vankkasara;Carex riparia;alkuperainen  vanhaa perua  vakiintunut;NT (2019);Metsaisten suojelualueiden konnektiviteetti ? SUMI-hankkeessa 2020 laadittu metsalajiluettelo  Putkilokasvien toiminnallinen monimuotoisuus ? SUMI-hankkeessa 2022 laadittu luettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Alueellisesti uhanalainen 2020 - 1a Hemiboreaalinen  Ahvenanmaa  Alueellisesti uhanalainen 2020 - 1b Hemiboreaalinen  Lounainen rannikkomaa;
kuusamonsarake;Carex simpliciuscula;alkuperainen  vanhaa perua  vakiintunut;EN (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Erityisesti suojeltavat lajit (LSA 2023/1066  liite 6)  Koko maassa rauhoitetut kasvilajit (LSA 2023/1066  liite 3)  Putkilokasvien toiminnallinen monimuotoisuus ? SUMI-hankkeessa 2022 laadittu luettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471)  VANHA Erityisesti suojeltavat lajit (LSA 1997/160  liite 4 2013/471);Kobresia simpliciuscula (Wahlenb.) Mack.
lapinhilpi;Arctagrostis latifolia;alkuperainen  vanhaa perua  vakiintunut;NT (2019);Koko maassa rauhoitetut kasvilajit (LSA 2023/1066  liite 3)  Suomessa esiintyvat Euroopan unionin tiukkaa suojelua edellyttavat eliolajit  (LSA 2023/1066  liite 7)  EU:n luontodirektiivin II-liite  EU:n luontodirektiivin IV-liite  EU:n luontodirektiivin liite II  Suomen Natura-lajit  VANHA Uhanalaisten lajien turvaaminen metsataloudessa -hankkeessa 2007?2010 laadittu metsalajiluettelo  Aapasuolajit ? SUMI-hankkeessa 2020 laadittu uhanalaisten tai silmallapidettavien aapasuolajien luettelo  Putkilokasvien toiminnallinen monimuotoisuus ? SUMI-hankkeessa 2022 laadittu luettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Alueellisesti uhanalainen 2020 - 4b Pohjoisboreaalinen  Pera-Pohjola  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023);
lehtokattara;Bromopsis benekenii;alkuperainen  vanhaa perua  vakiintunut;CR (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Erityisesti suojeltavat lajit (LSA 2023/1066  liite 6)  Koko maassa rauhoitetut kasvilajit (LSA 2023/1066  liite 3)  VANHA Kiireellisesti suojeltavat lajit (SYKE 2010?2011)  VANHA Uhanalaisten lajien turvaaminen metsataloudessa -hankkeessa 2007?2010 laadittu metsalajiluettelo  Metsaisten suojelualueiden konnektiviteetti ? SUMI-hankkeessa 2020 laadittu metsalajiluettelo  Putkilokasvien toiminnallinen monimuotoisuus ? SUMI-hankkeessa 2022 laadittu luettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471)  VANHA Erityisesti suojeltavat lajit (LSA 1997/160  liite 4 2013/471);Bromus benekenii (Lange) Trimen
vesihilpi;Catabrosa aquatica;alkuperainen  vanhaa perua  vakiintunut;NT (2019);Pohjois-Pohjanmaan ja Kainuun maakuntien etelapuolella rauhoitetut putkilokasvit (LSA 2023/1066  liite 4)  Aapasuolajit ? SUMI-hankkeessa 2020 laadittu uhanalaisten tai silmallapidettavien aapasuolajien luettelo  Putkilokasvien toiminnallinen monimuotoisuus ? SUMI-hankkeessa 2022 laadittu luettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Alueellisesti uhanalainen 2020 - 3c Keskiboreaalinen  Lapin kolmio  Alueellisesti uhanalainen 2020 - 4b Pohjoisboreaalinen  Pera-Pohjola;
hajuheinä;Cinna latifolia;alkuperainen  vanhaa perua  vakiintunut;NT (2019);Koko maassa rauhoitetut kasvilajit (LSA 2023/1066  liite 3)  Suomessa esiintyvat Euroopan unionin tiukkaa suojelua edellyttavat eliolajit  (LSA 2023/1066  liite 7)  EU:n luontodirektiivin II-liite  EU:n luontodirektiivin IV-liite  EU:n luontodirektiivin liite II  Suomen Natura-lajit  VANHA Uhanalaisten lajien turvaaminen metsataloudessa -hankkeessa 2007?2010 laadittu metsalajiluettelo  Metsaisten suojelualueiden konnektiviteetti ? SUMI-hankkeessa 2020 laadittu metsalajiluettelo  Putkilokasvien toiminnallinen monimuotoisuus ? SUMI-hankkeessa 2022 laadittu luettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Alueellisesti uhanalainen 2020 - 3a Keskiboreaalinen  Pohjanmaa  Alueellisesti uhanalainen 2020 - 3b Keskiboreaalinen  Pohjois-Karjala?Kainuu  Alueellisesti uhanalainen 2020 - 3c Keskiboreaalinen  Lapin kolmio  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023);
hukkariisi;Leersia oryzoides;alkuperainen  vanhaa perua  vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Erityisesti suojeltavat lajit (LSA 2023/1066  liite 6)  Koko maassa rauhoitetut kasvilajit (LSA 2023/1066  liite 3)  VANHA Kiireellisesti suojeltavat lajit (SYKE 2010?2011)  Putkilokasvien toiminnallinen monimuotoisuus ? SUMI-hankkeessa 2022 laadittu luettelo  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471)  VANHA Erityisesti suojeltavat lajit (LSA 1997/160  liite 4 2013/471);
lehtoraiheinä;Lolium giganteum;alkuperainen  vanhaa perua  vakiintunut;EN (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Erityisesti suojeltavat lajit (LSA 2023/1066  liite 6)  Koko maassa rauhoitetut kasvilajit (LSA 2023/1066  liite 3)  Kiireellisesti suojeltavat lajit (SYKE 2020)  VANHA Kiireellisesti suojeltavat lajit (SYKE 2010?2011)  Metsaisten suojelualueiden konnektiviteetti ? SUMI-hankkeessa 2020 laadittu metsalajiluettelo  Putkilokasvien toiminnallinen monimuotoisuus ? SUMI-hankkeessa 2022 laadittu luettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471)  VANHA Erityisesti suojeltavat lajit (LSA 1997/160  liite 4 2013/471);Festuca gigantea (L.) Vill.  Schedonorus giganteus (L.) Holub
tunturihilpi;Phippsia algida;alkuperainen  vanhaa perua  vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Putkilokasvien toiminnallinen monimuotoisuus ? SUMI-hankkeessa 2022 laadittu luettelo;
korpinurmikka;Poa remota;alkuperainen  vanhaa perua  vakiintunut;NT (2019);Pohjois-Pohjanmaan  Kainuun ja Lapin maakunnissa rauhoitetut putkilokasvit (LSA 2023/1066  liite 5)  Metsaisten suojelualueiden konnektiviteetti ? SUMI-hankkeessa 2020 laadittu metsalajiluettelo  Putkilokasvien toiminnallinen monimuotoisuus ? SUMI-hankkeessa 2022 laadittu luettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Alueellisesti uhanalainen 2020 - 2b Etelaboreaalinen  Jarvi-Suomi  Alueellisesti uhanalainen 2020 - 3a Keskiboreaalinen  Pohjanmaa  Alueellisesti uhanalainen 2020 - 3b Keskiboreaalinen  Pohjois-Karjala?Kainuu  Alueellisesti uhanalainen 2020 - 3c Keskiboreaalinen  Lapin kolmio;
isopalpakko;Sparganium erectum;alkuperainen  vanhaa perua  vakiintunut;NT (2019);Putkilokasvien toiminnallinen monimuotoisuus ? SUMI-hankkeessa 2022 laadittu luettelo;Sparganium erectum subsp. erectum
jokipalpakko;Sparganium neglectum;alkuperainen  vanhaa perua  vakiintunut;EN (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Putkilokasvien toiminnallinen monimuotoisuus ? SUMI-hankkeessa 2022 laadittu luettelo  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);
tylppähammaspoimulehti;Alchemilla samuelssonii;alkuperainen  vanhaa perua  vakiintunut;NT (2019);Putkilokasvien toiminnallinen monimuotoisuus ? SUMI-hankkeessa 2022 laadittu luettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Alueellisesti uhanalainen 2020 - 1a Hemiboreaalinen  Ahvenanmaa  Alueellisesti uhanalainen 2020 - 2a Etelaboreaalinen  Lounaismaa ja Pohjanmaan rannikko  Alueellisesti uhanalainen 2020 - 2b Etelaboreaalinen  Jarvi-Suomi;
paunikko;Crassula aquatica;alkuperainen  vanhaa perua  vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Kiireellisesti suojeltavat lajit (SYKE 2020)  VANHA Kiireellisesti suojeltavat lajit (SYKE 2010?2011)  Putkilokasvien toiminnallinen monimuotoisuus ? SUMI-hankkeessa 2022 laadittu luettelo  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);
lettorikko;Saxifraga hirculus;alkuperainen  vanhaa perua  vakiintunut;VU (2019);Uhanalaiset lajit (LSA 2023/1066  liite 6)  Koko maassa rauhoitetut kasvilajit (LSA 2023/1066  liite 3)  Suomessa esiintyvat Euroopan unionin tiukkaa suojelua edellyttavat eliolajit  (LSA 2023/1066  liite 7)  EU:n luontodirektiivin II-liite  EU:n luontodirektiivin IV-liite  EU:n luontodirektiivin liite II  Suomen Natura-lajit  VANHA Uhanalaisten lajien turvaaminen metsataloudessa -hankkeessa 2007?2010 laadittu metsalajiluettelo  Aapasuolajit ? SUMI-hankkeessa 2020 laadittu uhanalaisten tai silmallapidettavien aapasuolajien luettelo  Putkilokasvien toiminnallinen monimuotoisuus ? SUMI-hankkeessa 2022 laadittu luettelo  Uhanalaisten lajien esiintymien turvaaminen metsataloudessa ? Lajiturva-hankkeessa 2019?2021 laadittu lajiluettelo  Metsankayttoilmoitusten automaattimenettelyssa kaytettava lajiluettelo (MKI-OHKE 2023)  VANHA Uhanalaiset lajit (LSA 1997/160  liite 4 2013/471);
